# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381672319330e-10       4.179500460163e-15       3.519337604015e-13       0.000000000000e+00       8.236363926627e-09       4.535747353113e-10      -1.842359496087e-12 
    3       1.306686643239e-10       5.354349460554e-15       3.955014881675e-13       0.000000000000e+00       5.068758635956e-09       3.217368791896e-10      -1.394919934829e-12 
    4       1.236001903015e-10       4.628865716880e-15       3.698083826522e-13       0.000000000000e+00       3.524741558530e-09       2.436997654541e-10      -9.127420161435e-13 
    5       1.183077080162e-10       3.086039297819e-15       3.148767457727e-13       0.000000000000e+00       2.631980172695e-09       1.925368438797e-10      -5.069339224099e-13 
    6       1.146780407690e-10       1.724512718311e-15       2.535647682687e-13       0.000000000000e+00       2.056887115111e-09       1.566785810658e-10      -2.081012271182e-13 
    7       1.123125094076e-10       9.315387659323e-16       1.990692843262e-13       0.000000000000e+00       1.660292102491e-09       1.303590416424e-10      -1.764530545661e-14 
    8       1.109311952593e-10       6.011013607650e-16       1.571596104008e-13       0.000000000000e+00       1.372926091445e-09       1.103958099998e-10       7.941439476077e-14 
    9       1.102859904925e-10       4.824289522265e-16       1.291091667567e-13       0.000000000000e+00       1.156601648260e-09       9.490316051317e-11       1.064379291369e-13 
   10       1.101461637330e-10       4.107510114705e-16       1.135895830091e-13       0.000000000000e+00       9.888508526637e-10       8.262927996935e-11       8.927929284538e-14 
   11       1.104530054419e-10       3.446471718538e-16       1.079387764122e-13       0.000000000000e+00       8.333804250285e-10       7.300895379717e-11       5.203133824183e-14 
   12       1.110548092067e-10       2.997605862489e-16       1.090991522112e-13       0.000000000000e+00       7.283489522055e-10       6.455582463351e-11       1.227602321415e-14 
   13       1.119013036276e-10       2.870890920279e-16       1.143865205634e-13       0.000000000000e+00       6.421078028517e-10       5.769176879647e-11      -1.798981358990e-14 
   14       1.129451692741e-10       2.986647176038e-16       1.217805416475e-13       0.000000000000e+00       5.703409112193e-10       5.171514220765e-11      -3.451220973815e-14 
   15       1.141729952041e-10       3.227443190107e-16       1.299916727053e-13       0.000000000000e+00       5.099194087758e-10       4.668827408725e-11      -3.750060166944e-14 
   16       1.155095126741e-10       3.568045109405e-16       1.383569253903e-13       0.000000000000e+00       4.585371708952e-10       4.235494799020e-11      -3.091267946414e-14 
   17       1.169823278533e-10       4.063741647497e-16       1.466585787662e-13       0.000000000000e+00       4.144517806380e-10       3.857276418891e-11      -1.994052897221e-14 
   18       1.185282864817e-10       4.768835597921e-16       1.551535914009e-13       0.000000000000e+00       3.761811638697e-10       3.527412130078e-11      -9.473591441167e-15 
   19       1.201586998240e-10       5.686589728568e-16       1.640641497025e-13       0.000000000000e+00       3.431210206770e-10       3.241165752596e-11      -2.117146180844e-15 
   20       1.218663246438e-10       6.796990243337e-16       1.735311191947e-13       0.000000000000e+00       3.139989528161e-10       2.986969412827e-11       4.180616246608e-16 
   21       1.236522992632e-10       8.093674991733e-16       1.835062836188e-13       0.000000000000e+00       2.883572990717e-10       2.760235352828e-11      -1.297286810482e-15 
   22       1.254904023542e-10       9.571771633704e-16       1.938022380550e-13       0.000000000000e+00       2.655832400545e-10       2.555341069150e-11      -5.509892253011e-15 
   23       1.273871315530e-10       1.123297479404e-15       2.040966144884e-13       0.000000000000e+00       2.453721943606e-10       2.371514117850e-11      -1.047329290100e-14 
   24       1.293369487407e-10       1.307944683642e-15       2.139772321390e-13       0.000000000000e+00       2.272617214332e-10       2.207157337861e-11      -1.433130025020e-14 
   25       1.313346156841e-10       1.511337007586e-15       2.231351591842e-13       0.000000000000e+00       2.110064499663e-10       2.060000371457e-11      -1.626977606552e-14 
   26       1.333623625223e-10       1.733848485537e-15       2.313051444636e-13       0.000000000000e+00       1.962889193132e-10       1.926275428547e-11      -1.595589392280e-14 
   27       1.354297677105e-10       1.977109800049e-15       2.384159220139e-13       0.000000000000e+00       1.830328208486e-10       1.805040412912e-11      -1.390097307912e-14 
   28       1.375395259355e-10       2.243375336093e-15       2.444801644864e-13       0.000000000000e+00       1.710772476449e-10       1.694761889959e-11      -1.111004681950e-14 
   29       1.396807218188e-10       2.534923496106e-15       2.495414692761e-13       0.000000000000e+00       1.601316556291e-10       1.592811494055e-11      -8.704402193738e-15 
   30       1.418599059420e-10       2.852846296259e-15       2.536477553206e-13       0.000000000000e+00       1.501358325030e-10       1.499091958623e-11      -7.073227796084e-15 
   31       1.440787141380e-10       3.197770661768e-15       2.568718750665e-13       0.000000000000e+00       1.410158762621e-10       1.413619090577e-11      -6.396900143016e-15 
   32       1.463290227484e-10       3.570269927379e-15       2.592807524347e-13       0.000000000000e+00       1.326278106054e-10       1.335703243108e-11      -6.763045301580e-15 
   33       1.486103208455e-10       3.971282212241e-15       2.607949340528e-13       0.000000000000e+00       1.249259818473e-10       1.264684747788e-11      -7.819358751293e-15 
   34       1.509162968003e-10       4.401835992179e-15       2.612759100216e-13       0.000000000000e+00       1.178421237561e-10       1.199324464809e-11      -8.978189568848e-15 
   35       1.532357281842e-10       4.862922270561e-15       2.605760022482e-13       0.000000000000e+00       1.112707463473e-10       1.138035176945e-11      -9.648734330271e-15 
   36       1.555756459417e-10       5.355437311399e-15       2.585915033110e-13       0.000000000000e+00       1.051948119951e-10       1.080616779659e-11      -9.767757248011e-15 
   37       1.579447185683e-10       5.880214258952e-15       2.552261597261e-13       0.000000000000e+00       9.959532492881e-11       1.027040996106e-11      -9.449016666899e-15 
   38       1.603462860581e-10       6.438033195363e-15       2.503764037313e-13       0.000000000000e+00       9.441333868621e-11       9.769518138304e-12      -8.846474411130e-15 
   39       1.627794102208e-10       7.029616117460e-15       2.439564883177e-13       0.000000000000e+00       8.957122321691e-11       9.298385188628e-12      -8.133662843494e-15 
   40       1.652440390775e-10       7.655619545072e-15       2.359855250328e-13       0.000000000000e+00       8.505415554271e-11       8.857019298041e-12      -7.426113515088e-15 
   41       1.677365141136e-10       8.316632688954e-15       2.265292149066e-13       0.000000000000e+00       8.085024522732e-11       8.445629236552e-12      -6.837439645438e-15 
   42       1.702475065889e-10       9.013174220303e-15       2.156781283542e-13       0.000000000000e+00       7.692621737199e-11       8.062621595083e-12      -6.501800711889e-15 
   43       1.727665194318e-10       9.745737722765e-15       2.035139963770e-13       0.000000000000e+00       7.323971972866e-11       7.705338665241e-12      -6.532453972424e-15 
   44       1.752983140749e-10       1.051495472469e-14       1.899926549895e-13       0.000000000000e+00       6.978508664606e-11       7.372922638962e-12      -6.879203266365e-15 
   45       1.778507206193e-10       1.132147557024e-14       1.750269996212e-13       0.000000000000e+00       6.655881556240e-11       7.064077209002e-12      -7.428467315335e-15 
   46       1.804298559168e-10       1.216592333273e-14       1.585181634924e-13       0.000000000000e+00       6.354582728819e-11       6.776150065110e-12      -8.040541787752e-15 
   47       1.830399171318e-10       1.304889284239e-14       1.403547166783e-13       0.000000000000e+00       6.071856333597e-11       6.505031237524e-12      -8.548069276101e-15 
   48       1.856831452416e-10       1.397088323041e-14       1.204346130390e-13       0.000000000000e+00       5.804547213242e-11       6.246340703594e-12      -8.801781444279e-15 
   49       1.883601850644e-10       1.493207534457e-14       9.874021550250e-14       0.000000000000e+00       5.552140262267e-11       5.999624275029e-12      -8.826542905130e-15 
   50       1.910694720339e-10       1.593248991932e-14       7.528304339264e-14       0.000000000000e+00       5.314422736202e-11       5.765165822603e-12      -8.706665450454e-15 
   51       1.938068782202e-10       1.697204432439e-14       5.008322185850e-14       0.000000000000e+00       5.090578844353e-11       5.542766284921e-12      -8.543336458847e-15 
   52       1.965655145618e-10       1.805054820056e-14       2.316984154390e-14       0.000000000000e+00       4.879147385233e-11       5.331707790647e-12      -8.455500718384e-15 
   53       1.993384056634e-10       1.916780832626e-14      -5.432469589720e-15       0.000000000000e+00       4.678480519168e-11       5.131065651661e-12      -8.549507768823e-15 
   54       2.021277769192e-10       2.032398492177e-14      -3.574871250293e-14       0.000000000000e+00       4.488356101951e-11       4.940821115716e-12      -8.816861005748e-15 
   55       2.049378108255e-10       2.151931935977e-14      -6.781933816180e-14       0.000000000000e+00       4.308706115880e-11       4.760972220351e-12      -9.211712379878e-15 
   56       2.077719078643e-10       2.275403316480e-14      -1.016876898150e-13       0.000000000000e+00       4.139130951135e-11       4.591190155091e-12      -9.679377240211e-15 
   57       2.106326091781e-10       2.402832822890e-14      -1.374002214312e-13       0.000000000000e+00       3.978878053246e-11       4.430797969463e-12      -1.015590653488e-14 
