# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381677050822e-10       4.179731475795e-15       3.519337565412e-13       2.310155800030e-19       8.236363926627e-09       4.535747353113e-10      -1.842359496087e-12 
    3       1.306696083236e-10       5.354811582707e-15       3.955014709516e-13       4.621216402815e-19       5.068758635956e-09       3.217368791896e-10      -1.394919934829e-12 
    4       1.236017585889e-10       4.629636121584e-15       3.698083331366e-13       7.704021827097e-19       3.524741558530e-09       2.436997654541e-10      -9.127420161435e-13 
    5       1.183100511366e-10       3.087195279835e-15       3.148766328369e-13       1.155973384472e-18       2.631980172695e-09       1.925368438797e-10      -5.069339224099e-13 
    6       1.146813057963e-10       1.726131718560e-15       2.535645458885e-13       1.618976719863e-18       2.056887115111e-09       1.566785810658e-10      -2.081012271182e-13 
    7       1.123168394529e-10       9.336983972550e-16       1.990688890422e-13       2.159576610804e-18       1.660292102491e-09       1.303590416424e-10      -1.764530545661e-14 
    8       1.109367290792e-10       6.038794315428e-16       1.571589590144e-13       2.777957749907e-18       1.372926091445e-09       1.103958099998e-10       7.941439476077e-14 
    9       1.102928622016e-10       4.859034873351e-16       1.291081542782e-13       3.474322166125e-18       1.156601648260e-09       9.490316051317e-11       1.064379291369e-13 
   10       1.101545026259e-10       4.150002699982e-16       1.135880808781e-13       4.248886108726e-18       9.888508526637e-10       8.262927996935e-11       8.927929284538e-14 
   11       1.104629359239e-10       3.497496609883e-16       1.079366310035e-13       5.101876828634e-18       8.333804250285e-10       7.300895379717e-11       5.203133824183e-14 
   12       1.110664508283e-10       3.057950707348e-16       1.090961836356e-13       6.033529336998e-18       7.283489522055e-10       6.455582463351e-11       1.227602321415e-14 
   13       1.119147712157e-10       2.941345986132e-16       1.143825217659e-13       7.044083219260e-18       6.421078028517e-10       5.769176879647e-11      -1.798981358990e-14 
   14       1.129605731489e-10       3.068005339476e-16       1.217752778017e-13       8.133779578966e-18       5.703409112193e-10       5.171514220765e-11      -3.451220973815e-14 
   15       1.141904414689e-10       3.320499866011e-16       1.299848808978e-13       9.302858179336e-18       5.099194087758e-10       4.668827408725e-11      -3.750060166944e-14 
