# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833536998314e+01 
       2.326967383895e-05       1.050301519123e+02 
       3.616372978745e-05       1.608006148938e+02 
       4.913726081258e-05       2.162187349852e+02 
       6.222535579712e-05       2.716139591793e+02 
       7.546398305974e-05       3.272355692755e+02 
       8.889031160036e-05       3.832982817655e+02 
       1.025430465059e-04       4.400009644796e+02 
       1.164627828021e-04       4.975362751761e+02 
       1.306923820715e-04       5.560965216496e+02 
       1.452773761623e-04       6.158777706752e+02 
       1.602664022595e-04       6.770830580617e+02 
       1.757116734154e-04       7.399251553487e+02 
       1.916694882799e-04       8.046291043013e+02 
       2.082007831341e-04       8.714346647329e+02 
       2.253717282862e-04       9.405987356170e+02 
       2.432543692752e-04       1.012397792050e+03 
       2.619273109284e-04       1.087130349438e+03 
       2.814764388756e-04       1.165119433565e+03 
       3.019956683058e-04       1.246715022179e+03 
       3.235877032066e-04       1.332296373608e+03 
       3.463647806409e-04       1.422274143217e+03 
       3.704493634340e-04       1.517092114772e+03 
       3.959747307006e-04       1.617228350016e+03 
       4.230853989411e-04       1.723195471058e+03 
       4.519372874741e-04       1.835539738323e+03 
       4.826975220161e-04       1.954838514009e+03 
       5.155437516903e-04       2.081695656608e+03 
       5.506628415780e-04       2.216734343250e+03 
       5.882488007422e-04       2.360586879205e+03 
       6.284998216087e-04       2.513881108465e+03 
       6.716143484631e-04       2.677223302168e+03 
       7.177861670716e-04       2.851177630310e+03 
       7.671986162231e-04       3.036242922954e+03 
       8.200181594551e-04       3.232827737796e+03 
       8.763877044742e-04       3.441225585976e+03 
       9.364201903732e-04       3.661592252707e+03 
       1.000193042924e-03       3.893927783660e+03 
       1.067744092453e-03       4.138065209109e+03 
       1.139069438538e-03       4.393667797000e+03 
       1.214123538332e-03       4.660235545938e+03 
       1.292821526828e-03       4.937120864772e+03 
       1.375043503953e-03       5.223531178558e+03 
       1.460640303702e-03       5.518594449571e+03 
       1.549440136473e-03       5.821393535522e+03 
       1.641255480852e-03       6.130955402500e+03 
       1.735889679903e-03       6.446297768875e+03 
       1.833142835819e-03       6.766452557410e+03 
       1.932816756480e-03       7.090484889389e+03 
       2.034718855882e-03       7.417507454915e+03 
       2.138665027763e-03       7.746690219504e+03 
